BOOK TITLE,F21 CRAIN ALPHARR,F21 CRAIN BODY,F21 CRAIN SWALLOW,S20 CRAIN ALPHARR,S20 CRAIN BODY,S20 CRAIN SWALLOW,S18 CRAIN ALPHARR,S18 CRAIN BODY,S18 CRAIN SWALLOW,F21 MORPH AS ARE,F21 MORPH MIGHT BE,F21 MORPH SHOULD BE,S20 MORPH AS ARE,S20 MORPH MIGHT BE,S20 MORPH SHOULD BE,S18 MORPH AS ARE,S18 MORPH MIGHT BE,S18 MORPH SHOULD BE,Disability,Diverse family structure,LGBTQIA+,Mental illness,None,Racial / Ethnic identity,Religious identity,Socioeconomic status
The Noah's ark ABC,82.6,13,4.3,98,2,0,100,0,0,4.2,95.8,0,21.8,76.4,1.8,26.7,73.3,0,0,0,0,0,9.1,0,86.4,4.5
The Northwest Coast Indians ABC book,89.3,3.6,7.1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,2.3,0,0,0,54.5,13.6,29.5
The Scripture Alphabet for children,100,0,0,96.2,0,3.8,94.5,5.5,0,76.9,15.4,7.7,52.5,29.5,18,49.2,27.9,23,3,0,0,0,0,0,69.7,27.3
The soldiers and sailors ABC,100,0,0,92.9,7.1,0,89.3,10.7,0,76,0,24,87.7,1.8,10.5,75.8,6.5,17.7,0,0,0,0,0,59.5,18.9,21.6
The Teddy Bear ABC,92.6,0,7.4,82.8,0,17.2,87.9,1.7,10.3,20,80,0,40.3,56.5,3.2,31.3,65.7,3,0,7.1,0,0,50,35.7,0,7.1
The toothland ABC,64.3,32.1,3.6,0,0,0,0,0,0,26.7,46.7,26.7,0,0,0,0,0,0,4.5,0,0,0,95.5,0,0,0
The Twins ABC,89.3,3.6,7.1,79.4,1.6,19,68.8,14.1,17.2,66.7,3.7,29.6,70.5,1.6,27.9,42.6,16.4,41,0,21.4,0,0,9.5,16.7,23.8,28.6
The Union ABC,100,0,0,100,0,0,94.5,5.5,0,72,0,28,49.2,0,50.8,61.2,1.5,37.3,9.1,3,0,0,3,54.5,9.1,21.2
The Union Label Alphabet for Little and ,51.4,16.2,32.4,70.4,2.8,26.8,48.7,14.1,37.2,67.7,0,32.3,10.7,8.9,80.4,34.4,6.3,59.4,2.6,0,0,2.6,21.1,21.1,0,52.6
The world at home ABC : an alphabet of n,91.3,0,8.7,96.4,1.8,1.8,87.7,12.3,0,82.6,4.3,13,83.6,1.8,14.5,81.7,1.7,16.7,0,12.3,0,1.8,0,31.6,26.3,28.1
Tom Thumb's alphabet,100,0,0,96.2,1.9,1.9,88.1,10.2,1.7,100,0,0,78.6,10.7,10.7,58.7,36.5,4.8,0,0,0,0,16.7,3.3,13.3,66.7
Tony Sarg's Alphabet,95.7,4.3,0,98.1,1.9,0,81.5,16.9,1.5,8,88,4,7.1,92.9,0,7,89.5,3.5,7.1,0,0,0,7.1,40.5,9.5,35.7
"Ultimate alphabet, The",96.2,3.8,0,91.1,1.8,7.1,0,0,0,32.3,67.7,0,22.6,74.2,3.2,0,0,0,5.7,1.9,0,0,0,34,32.1,26.4
Wild animal crackers,57.7,42.3,0,44.4,50,5.6,0,0,0,100,0,0,94.8,5.2,0,0,0,0,0,0,0,0,100,0,0,0
Wright’s Alphabet Book,100,0,0,100,0,0,75.4,18.5,6.2,74.1,3.7,22.2,73.8,6.6,19.7,65.1,20.6,14.3,3.1,12.5,0,3.1,0,12.5,3.1,65.6
